SysFile Entry Id;SysFile Entry (Description);Corrective action
0x1000;Error - NvdGlobalSection #1 | (Error related to the NvdGlobalSection.);( | AIN1 | ) Change inverter unit
0x1001;Error - NvdGlobalSection #2 | (Error related to the NvdGlobalSection.);( | AIN1 | ) Change inverter unit
0x1002;Error - NvdGlobalSection #3 | (Error related to the NvdGlobalSection.);( | AIN1 | ) Change inverter unit
0x1003;Error - NvdGlobalSection #4 | (Error related to the NvdGlobalSection.);( | AIN1 | ) Change inverter unit
0x1004;Error - NvdGlobalSection #5 | (Error related to the NvdGlobalSection.);( | AIN1 | ) Change inverter unit
0x1005;Error - NvdGlobalSection #6 | (Error related to the NvdGlobalSection.);( | ANA | ) No action related
0x1006;Error - NvdGlobalSection #7 | (Error related to the NvdGlobalSection.);( | ANA | ) No action related
0x1007;Warning - NvdGlobalSection #8 | (Warning related to the NvdGlobalSection.);( | ANA | ) No action related
0x1008;Warning - NvdGlobalSection #9 | (Warning related to the NvdGlobalSection.);( | ANA | ) No action related
0x1009;Error - NvdGlobalSection #10 | (Error related to the NvdGlobalSection.);( | AIN1 | ) Change inverter unit
0x100A;Warning - NvdGlobalSection #11 | (Warning related to the NvdGlobalSection.);( | ANA | ) No action related
0x100B;Warning - NvdGlobalSection #12 | (Warning related to the NvdGlobalSection.);( | ANA | ) No action related
0x1100;Error - NvdProtectedSection 0x00 | (Error related to the NvdProtectedSection);( | AIN1 | ) Change inverter unit
0x1101;Error - NvdProtectedSection 0x01 | (Error related to the NvdProtectedSection);( | AIN1 | ) Change inverter unit
0x1102;Error - NvdProtectedSection 0x02 | (Error related to the NvdProtectedSection);( | ANA | ) No action related
0x1103;Error - NvdProtectedSection 0x03 | (Error related to the NvdProtectedSection);( | ANA | ) No action related
0x1104;Warning - NvdProtectedSection 0x04 | (Warning related to the NvdProtectedSection);( | ANA | ) No action related
0x1105;Warning - NvdProtectedSection 0x05 | (Warning related to the NvdProtectedSection);( | ANA | ) No action related
0x1106;Error - NvdProtectedSection 0x06 - Data has not been read | (Data has not been read from non-volatile memory);( | AIN1 | ) Change inverter unit
0x1107;Warning - NvdProtectedSection 0x07 | (Warning related to the NvdProtectedSection);( | ANA | ) No action related
0x1108;Warning - NvdProtectedSection 0x08 | (Warning related to the NvdProtectedSection);( | ANA | ) No action related
0x1109;Warning - NvdProtectedSection 0x09 - New items were added | (Some new items were added and set to default values);( | ANA | ) No action related
0x1200;Error - ParamDrv 0x00 | (Error related to the ParamDrv);( | AIN1 | ) Change inverter unit
0x1201;Error - ParamDrv 0x01 | (Error related to the ParamDrv);( | AIN1 | ) Change inverter unit
0x1202;Error - ParamDrv 0x02 - Loading failed | (Failed to load parameters section from inverter non-volatile memory);( | ANA | ) No action related
0x1203;Error - ParamDrv 0x03 - Saving failed | (Failed to save parameters section to inverter non-volatile memory);( | ANA | ) No action related
0x1204;Warning - ParamDrv 0x04 - Parameter(s) removed | (One or more parameters are not used anymore and have been deleted from non-volatile memory);( | ANA | ) No action related
0x1205;Warning - ParamDrv 0x05 | (Warning related to the ParamDrv);( | ANA | ) No action related
0x1206;Error - ParamDrv 0x06 - Data has not been read | (Data has not been read from non-volatile memory);( | AIN1 | ) Change inverter unit
0x1207;Error - ParamDrv 0x07 - Some parameters need to be configured | (Some parameters were set to invalid values and need to be configured);( | ACS1 | ) Update inverter software
0x1208;Warning - ParamDrv 0x08 - New parameters added with default values | (Some new parameters were added and set to default values);( | ANA | ) No action related
0x1209;Info - ParamDrv 0x09 - All parameters reset to default values | (All parameters values have been reset to their default values);( | ANA | ) No action related
0x120A;Error - ParamDrv 0x0A - Invalid phase calibration | (Invalid phase calibration. Please launch the calibration process or enter a good phase value.);( | APC1 | ) Verify or change the inverter and/or machine parameters | ( | APC2 | ) Perform machine phase calibration | ( | AIN1 | ) Change inverter unit
0x120B;Info - ParamDrv 0x0B - Parameter identifiers converted to global ID | (Parameters identifiers translated to global ParamDrv ID);( | ANA | ) No action related
0x1300;Warning - NvdSavSection 0x00 | (Warning related to the NvdSavSection);( | ANA | ) No action related
0x1301;Warning - NvdSavSection 0x01 | (Warning related to the NvdSavSection);( | ANA | ) No action related
0x1302;Warning - NvdSavSection 0x02 - Loading failed | (Failed to load data section);( | ANA | ) No action related
0x1303;Warning - NvdSavSection 0x03 - Saving failed | (Failed to save data section);( | ANA | ) No action related
0x1304;Warning - NvdSavSection 0x04 - Items removed | (One or more parameters are not used anymore and have been deleted from non-volatile memory);( | ANA | ) No action related
0x1305;Warning - NvdSavSection 0x05 | (Warning related to the NvdSavSection);( | ANA | ) No action related
0x1306;Warning - NvdSavSection 0x06 - Data has not been read | (Data has not been read from non-volatile memory);( | ANA | ) No action related
0x1307;Info - NvdSavSection 0x07 - New parameters added with default values | (Some new items were added and set to default values);( | ANA | ) No action related
0x1800;Warning - StorageMgr 0x00 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1801;Warning - StorageMgr 0x01 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1802;Warning - StorageMgr 0x02 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1803;Warning - StorageMgr 0x03 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1804;Warning - StorageMgr 0x04 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1805;Warning - StorageMgr 0x05 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1806;Warning - StorageMgr 0x06 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1807;Warning - StorageMgr 0x07 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1808;Warning - StorageMgr 0x08 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1809;Warning - StorageMgr 0x09 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x180A;Warning - StorageMgr 0x0A | (Warning related to the StorageMgr);( | ANA | ) No action related
0x180B;Warning - StorageMgr 0x0B | (Warning related to the StorageMgr);( | ANA | ) No action related
0x180C;Warning - StorageMgr 0x0C | (Warning related to the StorageMgr);( | ANA | ) No action related
0x180D;Warning - StorageMgr 0x0D | (Warning related to the StorageMgr);( | ANA | ) No action related
0x180E;Warning - StorageMgr 0x0E | (Warning related to the StorageMgr);( | ANA | ) No action related
0x180F;Warning - StorageMgr 0x0F | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1810;Warning - StorageMgr 0x10 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1811;Warning - StorageMgr 0x11 - Write to non-volatile memory is deactivated | (Write to non-volatile memory is temporarily deactivated - possible cause may be VAUX too low);( | ANA | ) No action related
0x1812;Warning - StorageMgr 0x12 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1813;Warning - StorageMgr 0x13 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1814;Warning - StorageMgr 0x14 | (Warning related to the StorageMgr);( | ANA | ) No action related
0x1815;Info - StorageMgr 0x15 - All data in EEPROM has been re-written | (All data in EEPROM has been refreshed);( | ANA | ) No action related
0x2200;Warning - ParamMac 0x00 | (Warning related to ParamMac);( | ANA | ) No action related
0x2201;Warning - ParamMac 0x01 | (Warning related to ParamMac);( | ANA | ) No action related
0x2202;Warning - ParamMac 0x02 - Loading failed (previous will be used) | (Failed to load parameters section from motor memory - Previous motor parameter data will be used);( | ANA | ) No action related
0x2203;Warning - ParamMac 0x03 - Saving failed | (Failed to save parameters section to motor memory);( | ANA | ) No action related
0x2204;Warning - ParamMac 0x04 - Parameter(s) removed | (One or more parameters are not used anymore and have been deleted from non-volatile memory);( | ANA | ) No action related
0x2205;Warning - ParamMac 0x05 | (Warning related to ParamMac);( | ANA | ) No action related
0x2206;Warning - ParamMac 0x06 - Some parameters need to be configured | (Some parameters were set to invalid values and need to be configured);( | ANA | ) No action related
0x2207;Warning - ParamMac 0x07 - New parameters added with default values | (Some new parameters were added and set to default values);( | ANA | ) No action related
0x2208;Info - ParamMac 0x08 - All parameters reset to default values | (All parameters values have been reset to their default values);( | ANA | ) No action related
0x2209;Error - ParamMac 0x09 - Unsupported motor hardware version | (Error related to hardware motor version stored in motor EEPROM);( | ANA | ) No action related
0x2900;Warning - UdsCustomerInfoSection #1 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x2901;Warning - UdsCustomerInfoSection #2 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x2902;Warning - UdsCustomerInfoSection #3 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x2903;Warning - UdsCustomerInfoSection #4 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x2904;Warning - UdsCustomerInfoSection #5 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x2905;Warning - UdsCustomerInfoSection #6 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x2906;Warning - UdsCustomerInfoSection #7 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x2907;Warning - UdsCustomerInfoSection #10 | (Warning related to the UdsCustomerInfoSection.);( | ANA | ) No action related
0x3100;Warning - Motor Control Inverter 0x00 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3101;Warning - Motor Control Inverter 0x01 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3102;Warning - Motor Control Inverter 0x02 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3103;Warning - Motor Control Inverter 0x03 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3104;Warning - Motor Control Inverter 0x04 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3105;Warning - Motor Control Inverter 0x05 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3106;Warning - Motor Control Inverter 0x06 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3107;Warning - Motor Control Inverter 0x07 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3108;Warning - Motor Control Inverter 0x08 | (Warning related to the MotorControl);( | ANA | ) No action related
0x3109;Error - Motor Control Inverter 0x09 - Position sensor hardware fault | (Position sensor hardware fault);( | ACB1 | ) Verify/change the motor sensor/VMU interface harness between inverter and the machine | ( | ACB3 | ) Possible grounding problem; verify inverter and machine grounding connections | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x310A;Error - Motor Control Inverter 0x0A - High power battery voltage reached the low limit | (The voltage of high power battery reached the low limit);( | AMS2 | ) Verify the high-voltage battery chain | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x310B;Error - Motor Control Inverter 0x0B - High power battery voltage reached the high limit | (The voltage of high power battery reached the high limit);( | AMS2 | ) Verify the high-voltage battery chain | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x310C;Error - Motor Control Inverter 0x0C - High power battery voltage reached the high limit (H/W detection) | (The voltage of high power battery reached the high limit - HW detection);( | AMS2 | ) Verify the high-voltage battery chain | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x310D;Error - Motor Control Inverter 0x0D - Temperature too high | (A MCU internal component temperature reached the maximum limit);( | ACP*1 | ) Verify cooling system | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x310E;Error - Motor Control Inverter 0x0E - Temperature too high | (A MCU internal component temperature reached the maximum limit);( | ACP*1 | ) Verify cooling system | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x310F;Error - Motor Control Inverter 0x0F - Temperature too high | (MCU internal temperature reached the maximum limit);( | ACP*1 | ) Verify cooling system | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x3110;Error - Motor Control Inverter 0x10 - Temperature too high | (A MCU internal component temperature reached the maximum limit);( | ACP*1 | ) Verify cooling system | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x3111;Error - Motor Control Inverter 0x11 - Invalid command | (Invalid command in motor control interface);( | ACS1 | ) Update inverter software
0x3112;Error - Motor Control Inverter 0x12 - Temperature too high | (A MCU internal component temperature reached the maximum limit);( | ACP*1 | ) Verify cooling system | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x3113;Warning - Motor Control Inverter 0x13 - Back EMF Motor reduction mechanism activated (phases are short-circuited) | (Motor Back EMF reduction action initiated);( | ACS1 | ) Update inverter software
0x3200;Error - Motor Control Machine 0x00 - MCU phase #1 current reached the maximum | (The MCU phase #1 current reached the maximum limit);( | ACB*4 | ) Check phase cable integrity (visual inspection) | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3201;Error - Motor Control Machine 0x01 - MCU phase #2 current reached the maximum | (The MCU phase #2 current reached the maximum limit);( | ACB*4 | ) Check phase cable integrity (visual inspection) | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3202;Error - Motor Control Machine 0x02 - MCU phase #3 current reached the maximum | (The MCU phase #3 current reached the maximum limit);( | ACB*4 | ) Check phase cable integrity (visual inspection) | ( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3203;Warning - Motor Control Machine 0x03 - Sum of MCU phase #1_2_3 currents exceeds maximum limit | (The MCU phase #1_2_3 current sum reached the maximum limit);( | ACB*4 | ) Check phase cable integrity (visual inspection) | ( | ACB3 | ) Possible grounding problem; verify inverter and machine grounding connections | ( | AMS*1 | ) Verify VAUX level and connections for the inverter | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3204;Error - Motor Control Machine 0x04 - MCU phase #4 current reached the maximum | (The MCU phase #4 current reached the maximum limit);( | ANA | ) No action related
0x3205;Error - Motor Control Machine 0x05 - MCU phase #5 current reached the maximum | (The MCU phase #5 current reached the maximum limit);( | ANA | ) No action related
0x3206;Error - Motor Control Machine 0x06 - MCU phase #6 current reached the maximum | (The MCU phase #6 current reached the maximum limit);( | ANA | ) No action related
0x3207;Warning - Motor Control Machine 0x07 - Sum of MCU phase #4_5_6 currents exceeds maximum limit | (The MCU phase #4_5_6 current sum reached the maximum limit);( | ANA | ) No action related
0x3208;Error - Motor Control Machine 0x08 - MCU phase #7 current reached the maximum | (The MCU phase #7 current reached the maximum limit);( | ANA | ) No action related
0x3209;Error - Motor Control Machine 0x09 - MCU phase #8 current reached the maximum | (The MCU phase #8 current reached the maximum limit);( | ANA | ) No action related
0x320A;Error - Motor Control Machine 0x0A - MCU phase #9 current reached the maximum | (The MCU phase #9 current reached the maximum limit);( | ANA | ) No action related
0x320B;Warning - Motor Control Machine 0x0B - Sum of MCU phase #7_8_9 currents exceeds maximum limit | (The MCU phase #7_8_9 current sum reached the maximum limit);( | ANA | ) No action related
0x320C;Error - Motor Control Machine 0x0C | (Error related to the MotorControl);( | AWN1 | ) Maximum speed has been reached | ( | ACP*1 | ) Verify cooling system | ( | APC2 | ) Perform machine phase calibration | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x320D;Error - Motor Control Machine 0x0D | (Error related to the MotorControl);( | ACB*4 | ) Check phase cable integrity (visual inspection) | ( | APC2 | ) Perform machine phase calibration | ( | AMS2 | ) Verify the high-voltage battery chain | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x320E;Error - Motor Control Machine 0x0E - Insulation to chassis fault | (Insulation to chassis fault - one or more phase cable is shorted to the chassis);( | ACB*4 | ) Check phase cable integrity (visual inspection) | ( | AMS3 | ) Verify the insulation to chassis | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x320F;Error - Motor Control Machine 0x0F - Motor temperature | (A motor internal component temperature reached the maximum limit);( | ACP*1 | ) Verify cooling system | ( | ACB1 | ) Verify/change the motor sensor/VMU interface harness between inverter and the machine | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3210;Error - Motor Control Machine 0x10 - Speed reached its limit in forward direction | (The forward motor rotation speed reached the maximum limit based on high voltage level and system temperature);( | AWN1 | ) Maximum speed has been reached | ( | APC1 | ) Verify or change the inverter and/or machine parameters | ( | ACP*1 | ) Verify cooling system
0x3211;Error - Motor Control Machine 0x11 - Speed reached its limit in backward direction | (The backward motor rotation speed reached the maximum limit based on high voltage level and system temperature);( | AWN1 | ) Maximum speed has been reached | ( | APC1 | ) Verify or change the inverter and/or machine parameters | ( | ACP*1 | ) Verify cooling system
0x3212;Error - Motor Control Machine 0x12 - Invalid motor phase | (The motor phase calibration value is out of range);( | APC2 | ) Perform machine phase calibration | ( | ACB1 | ) Verify/change the motor sensor/VMU interface harness between inverter and the machine | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3300;Error - Application 0x00 | (Error related to the general system);( | ACS1 | ) Update inverter software
0x3301;Error - Application in Safe Mode | (Problem with drive non-volatile data);( | APC2 | ) Perform machine phase calibration | ( | ACB1 | ) Verify/change the motor sensor/VMU interface harness between inverter and the machine | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3302;Error - Application 0x02 | (Problem with non-volatile data);( | APC2 | ) Perform machine phase calibration | ( | ACB1 | ) Verify/change the motor sensor/VMU interface harness between inverter and the machine | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x3303;Error - Application 0x03 | (Error related to the general system);( | ACS1 | ) Update inverter software
0x3304;Error - Application 0x04 | (Error related to the general system);( | ACS1 | ) Update inverter software
0x3305;Info - System power-up | (System power-up);( | ANA | ) No action related
0x3306;Info - System set default blackbox registers | (System set default blackbox registers);( | ANA | ) No action related
0x3307;warning - Invalid Motor Hardware Version | (Invalid Motor Hardware);( | ACS1 | ) Update inverter software
0x3308;Info - Param Mac Updated | (Param Mac Updated);( | ANA | ) No action related
0x3309;Info - Old blackbox configuration | (Blackbox configuration was set with previous software version);( | ANA | ) No action related
0x330A;Error - Missing ressource or corruption | (Internal software error);( | ACS1 | ) Update inverter software
0x330B;Info - Application ADC synchronization | (Error related to the ADC synchronization);( | ACS1 | ) Update inverter software
0x330C;Error - Invalid Motor current sensor type | (Invalid Motor current sensors type specified in drive non-volatile data);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x330D;Error - Sw and Fc Mismatch MV HV | (Software and Feature Code Mismatch MV HV);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x330E;warning - Sw and Fc Mismatch BusDcCapacitor | (Software and Feature Code Mismatch BusDcCapacitor);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x330F;Warning - Application 0x0F | (Warning related to the general system);( | ACS1 | ) Update inverter software
0x3310;Warning - Application 0x10 | (Warning related to the general system);( | ACS1 | ) Update inverter software
0x3400;Warning - Resolver #1 - Parity error | (Parity error in communication with decoder chip);( | ANA | ) No action related
0x3401;Warning - Resolver #2 - Abnormal signals | (Resolver square sum of signal is invalid);( | ANA | ) No action related
0x3402;Warning - Resolver #3 - Broken cos line | (Resolver cos line disconnection detected);( | ANA | ) No action related
0x3403;Warning - Resolver #4 - Broken sin line | (Resolver sin line disconnection detected);( | ANA | ) No action related
0x3404;Warning - Resolver #5 - Abnormal conversion | (Resolver decoder chip PLL error);( | ANA | ) No action related
0x3405;Warning - Resolver #6 - Resolver high temperature | (Resolver temperature reached the maximum limit);( | ANA | ) No action related
0x3406;Warning - Resolver #7 - Delta angle too high | (Resolver measurement results in a delta angle too high);( | ANA | ) No action related
0x3407;Warning - Resolver #8 - Resolver errHld pin raised | (Resolver hardware error detected);( | ANA | ) No action related
0x3408;Error - Resolver #9 - Position sensor module error | (Position sensor module is in error);( | ANA | ) No action related
0x3500;Warning - One-Wire EEPROM Driver 0x00 - Device presence not detected | (Device presence not detected - cannot communicate with motor memory);( | ANA | ) No action related
0x3501;Warning - One-Wire EEPROM Driver 0x01 | (Warning related to the motor EEPROM reader);( | ANA | ) No action related
0x3502;Warning - One-Wire EEPROM Driver 0x02 | (Warning related to the motor EEPROM reader);( | ANA | ) No action related
0x3503;Warning - One-Wire EEPROM Driver 0x03 | (Warning related to the motor EEPROM reader);( | ANA | ) No action related
0x3504;Warning - One-Wire EEPROM Driver 0x04 | (Warning related to the motor EEPROM reader);( | ANA | ) No action related
